mA,original_shape_SurfaceArea,original_shape_MeshVolume,original_ngtdm_Contrast,original_ngtdm_Busyness,original_firstorder_Mean,original_shape_Maximum3DDiameter,original_gldm_DependenceEntropy,original_gldm_DependenceVariance,original_shape_Sphericity,original_firstorder_Median,original_shape_Flatness,original_gldm_DependenceNonUniformityNormalized,original_glrlm_LongRunLowGrayLevelEmphasis,original_gldm_GrayLevelVariance,original_glszm_LowGrayLevelZoneEmphasis,original_glcm_DifferenceEntropy,original_shape_MajorAxisLength,original_glszm_ZonePercentage,original_firstorder_Variance,average_dose (mGy)
120.0,59135.8362638574,459683.883301388,0.006760984576144,28.0473732430124,-79.8781931044488,192.160935471434,6.84049111064505,41.9029691891899,0.487086657583197,-98,0.266504912060983,0.0420117212712836,0.123781859826605,3.58949157435809,0.0178292290306816,1.53476365571183,156.783126663559,0.0169538949397391,2200.41255460532,4.98002755136429
120.0,74798.4277654481,794912.595121508,0.003897955536086,62.3367132733132,-83.1044586445433,203.701455389815,6.72963995967782,38.2914064712469,0.554801858756612,-95,0.373873845959542,0.0437092878085884,0.217841781491923,2.56530428682848,0.0282041395535855,1.48623822655851,168.853575736059,0.0151179101077795,1548.99147416804,5.40248131474266
120.0,37279.3978752379,237392.352654175,0.0023539740126797,1.84931350323321,-67.2195879594373,181.847679585725,6.93316219187266,41.1682642627434,0.497347247033561,-84,0.217720943028325,0.0438465988513076,0.0215864376418161,11.2822788321034,0.0054226477374392,1.74186031716275,154.540748132276,0.0322457813940438,7011.28648392177,5.48198141424506
120.0,85992.8456562124,995103.341115295,0.0067981792112003,126.071982559541,-84.375537549445,211.651675643684,6.61502793152753,25.6571312137406,0.560532235441089,-92,0.341132973857124,0.0537029491702247,0.141565671338032,2.1527341163772,0.0350146607987004,1.53217234776775,195.942620491185,0.0182886532770164,1292.8449641358,4.65273304117461
120.082352941176,75829.6859221366,811680.756096713,0.0007771716527607,6.03048063906853,-88.083512380684,207.545899360792,6.57042817611124,30.3131247925728,0.554925949292437,-97,0.394667440109316,0.049077613293998,0.0068751235182759,2.85653290699404,0.0016573855041724,1.59519831784553,177.354450781939,0.0248083312786916,1731.28346983711,4.65231395960646
120.0,63715.7618330229,642960.834446789,0.0020783128076369,2.85923317080017,-72.869352245022,191.575525081766,7.09995134863697,35.5921389170411,0.565405796982094,-93,0.364144657602677,0.0460541735583568,0.0038875064823841,5.35234958992621,0.0016972719472334,1.67578142374472,159.101677138424,0.0198528267490718,3291.96142578777,5.28723096769604
120.0,81050.7785908444,1075052.16517031,0.0016500240065588,38.0490632120374,-99.6854904846553,217.868355846706,6.48858919215778,39.3920935881059,0.626152269207827,-107,0.433574397651666,0.0431235956630517,0.0765121269679089,1.9569359927562,0.009537050838091,1.3493348550353,173.536719372267,0.016654623797006,1175.43416028205,4.57255204670565
125.701298701299,76830.4422765723,1005165.78741962,0.0018552516427697,30.7984576797842,-87.1521352608446,198.097870270692,6.62077640707482,26.7176171895096,0.63160068167438,-98,0.400383476162808,0.0524121013801887,0.0477302540671988,2.80864077988291,0.0105502966471005,1.60994655713225,166.917409578209,0.0210657575944356,1700.66667663557,4.61657833561123
137.814814814815,81344.6468145735,1080753.54255745,0.0018805962636643,91.4844337046862,-104.895608344982,196.939197438531,6.05755669177211,26.0884827495472,0.626094071997953,-108,0.406320357999024,0.0530146266672369,0.0945472257285146,1.09234772088227,0.0203278151042067,1.4339418618401,169.121394733535,0.0205934621269915,631.501831082241,5.18310539253171
120.392405063291,74457.3207749924,933715.38531741,0.0088894381087294,103.247086890357,-78.8997820572368,197.681618362064,6.93036359114338,32.0627200934359,0.620468487974667,-95,0.374651479597722,0.0483604397590754,0.272524124795991,3.63903258823977,0.0608600901371808,1.55401528020896,165.024833917491,0.0134797854259071,2222.05076086368,5.00106943632231
126.407894736842,79775.6391528643,951418.472896373,0.0010102298434812,43.0938494956012,-105.703854290766,219.801191825111,6.07996844638844,27.9912259079791,0.586401246887581,-109,0.332412633969969,0.0511502312755335,0.0419990998851098,1.14173404960076,0.0082429566776658,1.40438564079797,184.777194359862,0.0196890620561588,663.489818101151,4.98431693615094
120.0,80963.8110858619,881611.241241449,0.0031008393528844,55.5902090470242,-89.1226933180545,218.779338792753,6.67916682554636,35.0422237012086,0.549175635240604,-97,0.280494179022966,0.0456543540011851,0.114515640589696,1.95020735501722,0.015845016661068,1.42278995086566,188.698483158194,0.0164373047360626,1167.18465338623,5.17365359878058
120.0,63550.2695633908,515693.348555818,0.0028650626821914,20.9536537354494,-73.6077775258586,197.38606468118,6.86346577291434,30.1988424988051,0.489359188558203,-84,0.312458235833213,0.050553959254195,0.0617019590168458,3.06405403316762,0.0115585086751467,1.61674527155618,161.149493937649,0.0173329059394716,1868.35928434657,5.06629395920473
120.0,72225.9050765806,757107.790045064,0.0079342284283869,67.2180008082928,-82.8512294746647,220.797000275643,6.89342835704305,32.7935464726912,0.556198237360691,-101,0.283752504400195,0.0476600510368264,0.193570616731527,3.86155484501016,0.0352463156664173,1.58427900624638,183.776270382227,0.014009780412741,2356.35594259088,4.9672542017635
120.0,66920.4061355932,678045.087510335,0.003746295273518,44.6288330336834,-74.1942515811666,182.574197190198,6.61741227786339,28.1827206496623,0.557739332218535,-84,0.448216284446494,0.051350553920656,0.0949147638556927,2.45030593843043,0.019204287326336,1.60824306014459,152.179605375886,0.0188404778636683,1477.27499998449,5.32300461132818
120.0,72642.4689153372,560614.912601963,0.0052260770145669,39.791835381463,-82.0502825578925,225.787704941033,6.97218452811448,37.4462894007989,0.452623007065473,-97,0.256746866227058,0.0445241049259724,0.212955929840095,3.2173933804297,0.0271755402464076,1.51327064749349,201.424899064903,0.0164605906097302,1962.47496475976,5.59545069481198
120.0,73203.7945960688,717767.173454713,0.0058335148296449,52.9240789438141,-77.9258880620299,200.612817160716,6.81171207531368,30.5628836171573,0.52958977604909,-89,0.355780992717693,0.0496673795240018,0.102833229888595,2.84053655619702,0.0190704630486643,1.61508369633058,169.343537877428,0.0194839249321216,1726.63805449076,5.05548239096636
131.346153846154,89689.0199766617,1087183.48667446,0.0011950555011464,26.7919590938799,-109.162774183368,233.489239440132,6.14439177307059,30.2410608051664,0.570094359464211,-112,0.3411242735028,0.0492042126942003,0.0155374618904631,1.14521202229109,0.0029107525104463,1.37454287288219,201.579178143995,0.0198350078025003,664.175633157448,5.02437293762923
120.805194805195,81910.2180489182,960838.651117047,0.0051100839368802,241.47623620042,-96.915973555129,221.36223147409,6.43616312965307,33.970209550591,0.574883290519931,-103,0.291838074230379,0.0461353015169549,0.650229612041002,1.47641909414328,0.145890642207195,1.39166097678928,195.055250076248,0.0179985815391788,870.127078337579,4.85634742275342
120.0,73340.0513743535,753906.229018552,0.0077790859900405,47.4480190790972,-83.701405655488,202.498346695627,6.89990701088766,33.5797272101023,0.546203487842133,-100,0.329949544739445,0.0467464176096362,0.0800893908945617,3.53814793059665,0.0121469041642187,1.54310520341018,164.893122752684,0.0147644389386795,2151.81194622219,5.17071748761835
123.13698630137,87430.2219015988,1132302.56925058,0.0022921121026056,159.730576372962,-101.338334946757,209.661088255375,6.28748626822361,28.6075802540807,0.600893545423131,-105,0.366253342309291,0.0506040754328153,0.315643784449173,1.25267850665741,0.0739387126967136,1.42309519428219,192.212807181182,0.020173407971716,732.47300789303,4.43893107376186
120.0,63146.7941773378,514160.289922807,0.0013573998730723,4.85602662951381,-58.5236074565467,214.915786442954,7.08115857559296,34.1097057213955,0.491509411737897,-65,0.257830951009453,0.0473578574440505,0.0273502487677317,4.6955919603306,0.004809755544559,1.62145761693029,183.729933834512,0.0163621539487826,2891.78005455473,5.59081732557536
120.0,60946.6229133408,521948.821249627,0.0279057854558619,54.8504630401972,40.2986522566016,291.553257086791,7.06201495989813,44.9665861056563,0.514382785340938,67,0.383051252024543,0.0413386791979406,0.152559614483985,5.67658771282818,0.048263212321676,1.67446609079273,166.166669440205,0.0198229829566235,3491.34128923764,5.36604009128813
120.0,59882.9084646382,718998.405531234,0.0080587939610413,14.225915111828,19.7017013633441,174.001682488127,7.2297598086852,42.210613554182,0.648136566053432,57,0.44914148990166,0.0423470696731085,0.0339952298362596,8.70049264753359,0.00616777749574,1.74540428377458,138.039631233294,0.0204402203089893,5374.37075718463,4.856139724574
143.315789473684,80398.2900039807,1071278.59879471,0.0011025459607546,57.3325497965695,-95.8085406434622,200.540436650453,6.28572386783585,27.8847344917813,0.629755929532237,-101,0.411712273750749,0.0514125519673521,0.127564001951155,1.76004976496341,0.0266518256411767,1.43802870965803,166.013919147073,0.0214783970389352,1046.13873391199,5.34758841170377
122.565217391304,91539.2314478555,1166030.22192384,0.004078013799371,81.9550468882325,-85.0174610376075,211.731339731372,6.7239033642763,27.6671054489759,0.5852616498663,-94,0.418701106382201,0.0513420079802313,0.116047000307595,2.59940623273422,0.0235384560041085,1.47392967227166,177.430665654078,0.017796197973506,1573.76500928414,4.70582654347293
120.0,88809.1756835904,1091001.95517191,0.0029477946941337,77.1455157913683,-77.184327308623,222.707267842478,6.66139968817107,29.494612627929,0.577089675710776,-86,0.435038104520453,0.0502155438760248,0.142593148509663,2.19207748145866,0.0281415081900907,1.56456635826149,179.97986578612,0.0174582652677924,1318.89750510273,4.56658251570239
120.0,66299.8261445583,748268.827220966,0.0042200809716556,115.088907948163,-92.2538894089627,195.883127311214,6.40261301343451,39.5552348280135,0.601187815804766,-100,0.360868845802637,0.0428119320679036,0.426730841840425,1.63903883564976,0.0503214628499084,1.34778089792036,160.911586066024,0.0163281941552197,977.714651032889,5.41463796756013
193.132352941177,109457.470884222,1737370.58251473,0.0017029709328498,123.867873635699,-94.298370082607,231.807554107578,6.2121318986306,28.009610869774,0.63850900189869,-96,0.43196250407975,0.0515575646661052,0.0799648346187251,1.06457615529453,0.0140718913935622,1.34220640258647,209.609567982491,0.0172209922166712,611.376636190877,5.78607910969869
130.083333333333,98572.933476193,1277222.18080206,0.0081302828802266,183.873605254235,-95.5403424716317,220.980626603395,6.30252802914732,26.8573397122493,0.577524941461625,-100,0.400915665215733,0.0523537449555266,0.0704852707805648,1.47968892259318,0.0145446638998071,1.40768380809095,194.258423608264,0.0204445638505483,872.566649454904,4.81665473833271
120.0,76140.9661479155,822365.474284835,0.0114046944984067,401.448074818271,-101.512867167716,211.208254279619,6.03930278197762,44.1440084347135,0.557496725008553,-108,0.289955394508897,0.0420413289549896,1.15431024554773,1.60566919927025,0.124402053213986,1.25071070245222,174.06333985098,0.0137798355459492,954.771312552249,5.06485194624821
120.0,84020.8033924991,1047484.24915492,0.0042116824622512,70.7155536709377,-83.443619421999,217.397647799593,6.76258785301536,33.8781661910087,0.593647935930509,-92,0.3424483367197,0.0463219472839401,0.10214448880995,2.1982500897339,0.0155050218502661,1.46078333388629,183.453347972465,0.0158468006114872,1320.97177937267,4.97640058528063
120.0,88453.809286424,1182075.37926395,0.0003689046254855,22.6486456197258,-102.864350196153,206.021425911797,6.02724038496721,29.9724763423933,0.611220199572961,-105,0.486943730722106,0.0499991745829199,0.027809396128758,1.02059523855217,0.0043607322953366,1.29873955647599,170.423453415487,0.0175751246870225,581.989743602354,4.52710644134166
120.853333333333,92657.8899779816,1147763.99900625,0.0015364783638675,116.428408170917,-99.2064800358756,215.881116141438,6.24318515754419,31.0762707746351,0.572141500528056,-103,0.413229370199503,0.0487277825731083,0.221802313555151,1.15125721027144,0.0403118766620492,1.34211645155865,179.860748905674,0.0189094472495349,667.091471927551,4.34125167606837
123.853658536585,74819.4436151664,1013756.00043577,0.0045341244716452,116.407606866654,-94.6453725337182,195.596453661786,6.35730589018339,25.7790331034948,0.652266802480564,-100,0.427078448753434,0.0534157525471837,0.114797883241137,1.76056210437793,0.0269905618834379,1.50902785609521,166.146428730073,0.0220102576638664,1049.18883749197,4.22732292361512
138.423076923077,71751.0877790403,777161.753195797,0.0022510999833261,37.4667090469804,-78.6244819129368,204.31577808709,6.64520179410124,34.0999814973605,0.569722337944231,-86,0.311504155093475,0.046154110897799,0.0918733897853529,2.08809406269019,0.0149529906681209,1.47243367605939,173.077794262137,0.0193930104230533,1253.70200885176,5.870775640409
120.0,74862.5037376432,830709.917722355,0.0015587632048293,24.9332917696458,-75.0955106769833,215.393507145708,6.83539815131821,34.607209874648,0.570846540828133,-87,0.354416366029654,0.0458454147804276,0.109441228329171,2.71928292406803,0.0153333669807548,1.41985984807595,170.800915727973,0.0147005684066832,1649.57809171484,4.83953608250214
130.606060606061,86787.8700390864,1119109.88874164,0.0019200735962346,43.878395178571,-75.5470263088414,211.950769607348,6.75372268354959,25.5642310963585,0.600629856655799,-88,0.394112253137734,0.0535076311104604,0.127355082302914,3.64955118489976,0.0288788820593124,1.57098314255111,186.228733753962,0.0227828264331888,2229.10882606045,4.59753045367803
120.0,75688.5088723949,698344.422875763,0.0017645914736393,30.1450936132251,-89.6479863001549,219.603964128874,6.54153486839398,38.9732305127183,0.502921985236278,-94,0.311308750396294,0.0431308798417634,0.0734320868442452,1.39169254027712,0.0086829426152785,1.27647967623286,187.640611230206,0.0139045240873024,823.819424396071,5.03844848304235
120.89010989011,105534.305145902,1637984.90146191,0.0003181418795464,34.4361798979918,-93.6670566016872,219.357943090394,6.13535142519525,31.780648832487,0.636742344642177,-96,0.436713135999207,0.0483531090728883,0.0520185251252238,1.13473944938893,0.0075299497429105,1.29900428424818,192.428396912056,0.0146894924151819,656.434699796832,4.52121211421005
126.850574712644,87191.8324109901,1094876.05461687,0.0115460585423541,264.489507527343,-87.845247785492,204.103836480406,6.42605598986218,28.2344397553241,0.589184922836173,-93,0.390991983195661,0.0507780970726141,0.166874259044087,1.5489437566988,0.0334025733361791,1.41191496585185,180.071424251609,0.0171110192177944,917.943179094478,4.47407461179246
120.0,52051.1549109119,303298.137431892,0.0085365267533752,15.5810264620416,-61.9144301095521,188.890097519549,7.00763681256824,33.2205905516332,0.419404980304514,-79,0.210350598936239,0.050802509971418,0.0673914353426116,4.74595537061572,0.0138115131355753,1.84222204211383,164.240009178054,0.0192579338920802,2931.51598507325,5.91238547057162
120.106666666667,52965.2899352373,521258.600137132,0.0029283265184601,49.782962881008,-105.923437585684,172.098275167405,6.22449343623623,38.4155510397922,0.591373136801856,-111,0.353806319098171,0.0437307527002113,0.16851838400248,1.45383275858536,0.0222969206531613,1.29607891923742,139.708215853997,0.0165609519805509,854.481726622327,5.59351588282617
120.0,57435.050754369,355210.156057208,0.008823285757653,37.4773228922281,-48.6763964495455,195.79401149225,7.06597616074245,29.9677831812472,0.422309351378699,-57,0.215198265647799,0.0505250745297589,0.463075186252463,4.05602266175799,0.183268468954203,1.65180160591873,170.540435704394,0.0183422273470811,2490.56328374554,5.76074741422863
120.0,65551.5756871463,583498.106795084,0.0015081093647519,52.67512320301,-106.305159757322,209.517468820926,6.26990059730525,41.1355131349353,0.515142391602247,-113,0.243671054486025,0.0423142341026252,0.386837623164533,1.47415624395677,0.0332473671003589,1.29062457119863,173.916028339005,0.0129585929270742,859.630296892627,5.77993320806421
120.0,47930.559526847,286174.931802711,0.0125624725206282,19.4180962892661,-62.5057897714039,172.496437017288,6.89771521331505,41.5006650132111,0.438153230046341,-84,0.259536479204313,0.0425467221221214,0.132421769086584,4.95988564176712,0.0210353868687573,1.59244277155686,149.763139407732,0.0167537350680465,3083.69724295677,6.16530187548664
120.876404494382,81651.4397119024,1079946.89381925,0.0009968738397166,55.4333979649064,-109.10705995534,221.826895407622,6.1849251950555,33.8511830296181,0.623431215947853,-113,0.405590224605301,0.0464829006814129,0.108579615638819,1.178806847234,0.0164410113524867,1.31276713901457,184.410693856408,0.0169018808307076,684.626167136581,4.88371957420148
120.0,75521.9003225971,769671.642165723,0.0041099524963835,101.451672068286,-78.3202040588898,206.257842938457,6.52138171153984,32.1790801703701,0.537792662126819,-85,0.293575462818023,0.0477153096805375,0.254061972176894,1.60719211199077,0.039889382733286,1.42762932146944,178.841089749243,0.0149639058456433,951.922419522259,5.15279411775486
182.708333333333,93658.8119744554,1339773.22076576,0.0015960533174126,121.37939907189,-108.725128599176,229.184584167482,6.13844555206017,27.994187557201,0.627513406126801,-110,0.374786092590762,0.0512126718163268,0.151899249668374,1.07128678955933,0.0321214443461727,1.37637691222787,198.765494396578,0.0195086550980769,618.916840041127,5.64042700427299
120.0,59581.0537709022,552927.113026452,0.0068877909365496,102.478958177752,-100.333683738885,188.352502462554,6.39371053090041,37.5560742550111,0.54679080405864,-109,0.266084897033387,0.0438123315096281,0.291667763104349,1.66667305655192,0.0363536453375245,1.3489109185605,157.762729718683,0.0126232163783001,984.240037253808,5.46738918591025
120.0,65974.4314147632,643960.005999621,0.0022731045754672,65.0960777773298,-97.7699137305968,207.491532082597,6.41888361657685,33.4451787389604,0.546614396301649,-107,0.280702106036867,0.0464697424809389,0.37403721576712,2.08165886322978,0.0595774943592692,1.41526564355865,171.654166043447,0.0146495213009959,1244.74261810025,4.85062888625165
147.53488372093,109057.903214622,1704462.69158875,0.0055894476808445,238.198827273426,-88.3873370004446,246.470974704161,6.56361021048461,23.4783197614629,0.632730321844625,-96,0.404654782267598,0.0560278012677021,0.221770753389955,2.17796664154482,0.0753140263560666,1.50081986267177,202.915818073753,0.0203835086257281,1307.96211150499,4.91212456175361
120.0,58629.5814861141,407072.305511745,0.0059437525940359,53.8648798249405,-77.7408438838314,196.498539315025,6.76056581115185,37.038419095353,0.453052330048752,-92,0.247756613360488,0.0448762585584344,0.485675873860765,2.83392817346587,0.0803082406035668,1.52993340585445,169.201983316093,0.0154688633544733,1729.98406555357,5.54186984287754
120.0,87568.2129188556,1209817.34067211,0.0152766613648965,62.4008586306157,20.1473379424452,220.598226866596,7.31190406041618,27.2123647915342,0.627024014751209,38,0.389036541616243,0.0524994811650894,0.0938190773046914,6.21976000506952,0.0299265869753636,1.66778096820948,177.395926784563,0.0188540250940535,3837.35973690092,4.51407595419252
120.0,77636.4355547362,964618.376633257,0.0029736212998064,34.8984655105921,-83.5198527777092,217.676695758437,6.64749510325575,29.9348661971145,0.608119445496641,-94,0.427469233043627,0.0499459661887259,0.0354240072522003,2.36066194044853,0.0072768499763895,1.58878004428144,177.146594195181,0.0172171034755329,1421.96577314731,4.79985117877628
252.2,99745.1726608684,1380734.08870099,0.0014726704723876,122.531690486749,-108.004510987551,256.655864231213,6.03533855856399,28.2850676884584,0.60117226489304,-109,0.301157912587726,0.051364654417873,0.116804404470897,0.874282204521426,0.0224478176595715,1.32402923301212,226.860153609991,0.0181992634699745,495.388290429387,7.93052941083037
120.0,66654.8600709292,767694.359347309,0.0026127746617722,96.6303513081763,-102.853493972912,184.577831906357,6.25036738302553,31.630311399912,0.608290737118122,-107,0.356058819395863,0.0480028366891036,0.227765027059627,1.26845559840084,0.0407876956548241,1.37449235426687,162.930451803855,0.019068191128822,740.167957855342,4.92392246933075
120.0,75594.9668830266,900156.214942197,0.0039293344752415,112.578166851324,-106.737309940282,202.33594934928,6.27596754724152,35.0443137230735,0.596398441090996,-113,0.35513310420745,0.0455137141647448,0.188666115935976,1.48055975086002,0.0292809415483471,1.37971325277969,167.383764719333,0.0161788996654102,873.482913588618,4.56197689924188
120.0,63857.3560199132,627365.294371341,0.016807041010485,20.5337568985105,-18.7871647276814,210.677233798304,7.27035560754349,48.3207339703588,0.554992164433391,2,0.319798630553045,0.0419073297969846,0.0375478745285166,7.76491505372384,0.0055329472640337,1.91373652015772,170.001741377896,0.0352206798092403,4801.76311371027,5.01940237854257
120.0,63147.2487026164,415806.165581516,0.0072748367430821,26.2254438502624,-29.6915922107675,213.054106256615,7.19844056901441,28.4284139451458,0.426635484739016,-28,0.272137034391383,0.0520569659467098,0.110861294886608,3.5192287048518,0.0252445326959048,1.65084983120086,170.639427617722,0.017319587628866,2149.36405989327,5.36139815477663
124.776315789474,76321.7975613264,921297.76311582,0.0020989012871808,97.0049392191682,-109.047199822063,207.895497534143,6.00140018448485,33.5121946111395,0.59993225451883,-112,0.336041536345802,0.0467423303837327,0.131168430784493,0.89092310158007,0.0224788431565605,1.32411983497796,175.397560998447,0.0174057426019128,505.528520597866,4.74684815297655
120.0,62985.7367482762,467656.592800701,0.0040314535090253,27.9790274397207,-87.9251940432294,207.960876106487,6.63966590287322,42.5395495222503,0.462586852181132,-101,0.226723580622583,0.0415526732178098,0.132541410333754,2.74931008607998,0.0160401954656037,1.51816356777019,178.138154613937,0.0161244321307067,1673.71190564766,5.48418516283334
120.0,74941.6994515841,794646.162619571,0.0022892977547219,77.4239992990832,-99.2042562632671,205.643204778876,6.23948998494281,34.6190149831201,0.553617462991002,-104,0.33935903799516,0.0457283405745969,0.182179494871933,1.28455071281336,0.0258900876446873,1.34082440878718,174.902112782432,0.0154527901370783,750.423799928668,4.78260066229327
120.0,61645.4116792753,577813.61737413,0.0028901973738576,113.633715401227,-94.8751989444605,197.404884554813,6.32341942453098,44.2805940635195,0.544220899387966,-100,0.234092449267236,0.0410412551863094,0.982670980238149,1.22194353433226,0.095624575638789,1.29549465125248,171.791798462983,0.0135323465138333,714.902183324335,5.36534466736486
121.741573033708,73714.9236918278,772821.943247792,0.0021931704021612,26.4422864734761,-81.0908524780191,209.413772490588,6.70684655626994,26.8791658693958,0.55247801511051,-87,0.29344628638124,0.0523750158542338,0.0417291542501235,2.04916505430777,0.0085850351725159,1.44830728546416,187.892139857241,0.0171716424352287,1228.75110236849,4.87375393541914
120.0,67463.6520614755,691140.21517927,0.0085288890020479,124.845310172748,-87.7286214598903,196.970558040915,6.74592883680683,35.015043514251,0.560348722627017,-97,0.370100523354109,0.0456789001983003,0.357415627354721,1.97131187412656,0.0494302216683585,1.40737383924809,156.45409326806,0.0120508507293936,1183.91158656997,5.12680326988942
120.176470588235,61991.8388414832,557381.761144563,0.0013307250108632,37.2962794594208,-106.26221226911,192.331923557304,6.27668031966927,38.7100548742122,0.528345615707864,-111,0.272647157379604,0.0435233929567548,0.223153617483935,1.57384079217616,0.0272434892036031,1.38186504436915,168.586660078071,0.0157017941244348,929.071304387617,5.66299626091856
120.0,69458.3825581717,783191.94921883,0.0013740759533778,5.82866327439693,-75.0096924930333,200.262922259651,6.87307061341795,47.8321561606704,0.591568356183199,-94,0.315035537152205,0.0401985006016819,0.0138861430038007,4.50383686951908,0.0020997780113587,1.57959127474929,177.418113006821,0.0184662375117125,2773.08185720979,5.29748972233107
120.0,56195.917169467,447458.187868529,0.0056352572549528,35.6416707880135,-82.7072474876512,185.794637718948,6.52453347560194,48.7916919178798,0.50343994015107,-98,0.290053055007695,0.0394867667541636,0.253864217478965,2.87945834546755,0.0212372594932592,1.4056703851233,157.040247732781,0.0153295861011753,1751.33468857425,5.60494956157384
120.0,81958.6146195334,993858.797347743,0.0015938046734078,13.2546149052635,-70.9304380766059,204.124784613276,6.88052468749205,28.9039188675378,0.587632724794343,-77,0.421642960585977,0.0503186371127653,0.0128559519630317,2.36000008439569,0.0025773806586625,1.45014658181493,165.467143890302,0.0168066823944607,1424.53637467239,4.15229478888313
